Search Term,Username,Handle,PostDate,Content,Comments,Retweets,Likes
COVID,Shyam Maniyar,@ManiyarShyam,2021-02-24T16:46:52.000Z,Stanford Raagapella - Without Me / Jee Karda (Halsey + Divya Kumar Mashup) #mehfil2021 https://music.youtube.com/watch?v=Pgy9UrRTbcY&feature=share. Let the #music continue even during #covid times!,,,,,,,,,,,,Stanford Raagapella - Without Me / Jee Karda (Halsey + Divya Kumar Mashup) #mehfil2021 https://music.youtube.com/watch?v=Pgy9UrRTbcY&feature=share. Let the #music continue even during #covid times!,@ManiyarShyam,,2021-02-24T16:46:52.000Z,,COVID,Shyam Maniyar
COVID,BenjaminMichaels Ltd,@BM_pharma,2021-02-26T11:24:14.000Z,"#covid-19, #hospitals, foggy weather, #fluseason, DM your order as product is readily available for shipping.Feel free to drop your comments for more enquiries or call/whatsapp us on 0810 902 8207 for more enquiries! #facemask #nosemask #surgicalmask #coronavirus",,,,,,,,,,,
COVID,mycovidrecovery,@mycovidrecover,2021-02-26T11:23:42.000Z,An interesting article  on testing to see whether #LongCovid can survive airborne. #longcovid #COVID19 #covid-19ukUK scientists begin study of how long Covid can survive in the airResearchers will test length of time virus stays infectious in different climatic conditionstheguardian.com,,,,,,,,,,,
COVID,Rana Kabbani,@RanaKabbani54,2021-02-26T11:23:39.000Z,"Thank you, @NHSEnglandLDN, for vaccinating my son @AlexSeale this morning.His #underlyingconditions made him particularly vulnerable, so this is a great relief.Kind & empathetic #doctor from #SriLanka gave him the first shot.#Covid #Corona #vaccine #Pfizer",,,2,,,,,,,,
COVID,News Medical,@NewsMedical,2021-02-26T11:23:33.000Z,Is one-dose of Pfizer-BioNTech mRNA vaccine for COVID-19 convalescents sufficient? https://news-medical.net/news/20210226/Is-one-dose-of-Pfizer-BioNTech-mRNA-vaccine-for-COVID-19-convalescents-sufficient.aspx @medrxivpreprint @CedarsSinai #SARSCOV2 #COVID19 #covid #coronavirus #pandemic #research #vaccine,,1,,,,,,,,,
Vaccine,( o  ) ~ ,@_sKar_420,2021-02-26T11:24:41.000Z,Is the #COVID19  #Vaccine Safe?Is the COVID-19 Vaccine Safe?Our experts answer some frequently asked questions about vaccine safety.hopkinsmedicine.org,,,,,,,,,,,
Vaccine,Whitehaven News,@WhitehavenNews,2021-02-26T11:24:33.000Z,'Age is the predominant factor': announcement on vaccines for under 50s #vaccine #under50shttp://whitehavennews.co.uk/news/19120693.jcvi-announcement-vaccines-50s-downing-street-briefing/,,,,,,,,,,,
Vaccine,119,@1_1_9,2021-02-26T11:24:21.000Z,Replying to @ReutersEveryday bigger protection Sales ..shoyld we expect Full protection ..by just reading the  #vaccine  label ?,,,,,,,,,,,
Vaccine,BrightHR - Ireland,@brighthr_ire,2021-02-26T11:24:12.000Z,Get your people back to work as safely as possible with our FREE #vaccine tracker. Log #COVID19 vaccinations with ease Access clear progress reports Complete e-learning + resource library  Get #FREE expert adviceSign up for early access: http://ow.ly/qyy550DKBMK,,,,,,,,,,,
Vaccine,Observer2021,@Observer20211,2021-02-26T11:24:01.000Z,"US #StockMarket in crash mode on collapsing US dollar, soaring #bitcoin  , #BidenRemorse , #COVID19 new mutant #B1526 that can evade #vaccine , #Brexit and global recession",,1,1,,,,,,,,
Vaccine,Times & Star,@timesandstar,2021-02-26T11:23:54.000Z,'Age is the predominant factor': announcement on vaccines for under 50s #vaccine #under50shttp://timesandstar.co.uk/news/19120693.jcvi-announcement-vaccines-50s-downing-street-briefing/,,,,,,,,,,,
Vaccine,Ramsey Alwin,@Ramsey_Alwin,2021-02-26T11:23:42.000Z,"Age is a critical factor in #Covid19 risk, with the chances of dying from the virus about 7,900 times greater for the oldest Americans yet promising news this week - hospital admissions drop 72%, led by oldest patients #vaccineCovid Hospital Admissions Drop 72%, Led by Oldest U.S. PatientsCovid-19 hospital admissions plummeted 72% in a month in the U.S. as the virus ebbed and the vaccination push accelerated.bloomberg.com",,,,,,,,,,,
COVID19,Lyrium,@lyrium_global,2021-02-26T11:24:49.000Z,"#Sustainability initiatives have met several challenges in light of the #COVID19 pandemic. Maintaining #sustainable practices can still be feasible so long as there is a proactive effort to remain mindful about how our choices affect the #environment.How do we maintain sustainability through the pandemic?Simon Venni, UK&I sales manager at the Professional Division of appliances manufacturer, Miele, looks at how sustainability in hospitality has been impacted by the pandemic with a move back toward...circularonline.co.uk",,,,,,,,,,,
COVID19,Tanerau,@Tanerau,2021-02-26T11:24:46.000Z,I cant wait to see everyone post their vaccine selfies #soexcited #heros #COVID19Vaccine #COVID19 #subtlesarcasm,,,,,,,,,,,
COVID19,ISSUP,@issupnet,2021-02-26T11:24:46.000Z,"Congratulations to ISSUP Chile National Chapter for hosting a great webinar yesterday exploring the Results of a study on #prevention, treatment and social inclusion in the framework of the #COVID19 pandemic in #Chile",,,,,,,,,,,
COVID19,DrG,@DocGauhar,2021-02-26T11:24:45.000Z,#COVID19 impact continues.#hybrid webinars to the rescue for scientific exchange   @endouro #UroSoMe. @iTRUEGroup,,,,,,,,,,,
coronavirus,BW Disrupt,@BwDisrupt,2021-02-26T11:24:42.000Z,"@FarEye has announced the appointment of Suvrat Joshi as its Chief Product Officer (CPO). Read More:http://bwdisrupt.businessworld.in/article/FarEye-Appoints-Suvrat-Joshi-As-Chief-Product-Officer/25-02-2021-381711/@anuragbatrayo #Government #Rent #NASA #Electricaircraft #System #Renewableenergy #Solarpower #CoronavirusFarEye Appoints Suvrat Joshi As Chief Product OfficerThe seasoned product leader is said to drive product strategy & growth for the logistics Saas platform. , , FarEye, logistics SaaS platformbwdisrupt.businessworld.in",,,,,,,,,,,
coronavirus,Polish Press Agency,@PAP_eng,2021-02-26T11:24:37.000Z,"The number of #Poland's confirmed #coronavirus infections has grown since Thursday by 11,539 new cases and reached 1,684,788, the Ministry of Health said on Friday.",,,,,,,,,,,
coronavirus,MssDidi,@MssDidi,2021-02-26T11:24:25.000Z,#Download My Kill #Coronavirus On Contact #Recipes #FREE #coronaviruschallenge #COVID19 https://bit.ly/35TbPyt https://bit.ly/2PfDiaw,,,,,,,,,,,
coronavirus,BenjaminMichaels Ltd,@BM_pharma,2021-02-26T11:24:14.000Z,"#covid-19, #hospitals, foggy weather, #fluseason, DM your order as product is readily available for shipping.Feel free to drop your comments for more enquiries or call/whatsapp us on 0810 902 8207 for more enquiries! #facemask #nosemask #surgicalmask #coronavirus",,,,,,,,,,,
coronavirus,News Medical,@NewsMedical,2021-02-26T11:23:33.000Z,Is one-dose of Pfizer-BioNTech mRNA vaccine for COVID-19 convalescents sufficient? https://news-medical.net/news/20210226/Is-one-dose-of-Pfizer-BioNTech-mRNA-vaccine-for-COVID-19-convalescents-sufficient.aspx @medrxivpreprint @CedarsSinai #SARSCOV2 #COVID19 #covid #coronavirus #pandemic #research #vaccine,,1,,,,,,,,,
coronavirus,The ASEAN Post,@theaseanpost,2021-02-26T11:23:27.000Z,"DAILY SNAPSHOT: Total Cases crossed the 2.42 million mark at 7:00 pm with over 13,000 cases reported across the region since our last update.#TheASEANPost #ASEAN #PrayForASEAN #PrayForTheWorld #COVID19 #CoronaVirusOutbreak #CoronaVirus #Corona #StayHome #Quarantine #Lockdown",,1,,,,,,,,,
COVID-19,Sirius Arts Centre,@SiriusArts,2021-02-26T11:25:06.000Z,"The project connects the experience of COVID-19 with a social ritual associated with illness, fear and faith that took place in Ireland during the second cholera pandemic in the 1830s.",,,,,,,,,,,
COVID-19,Belinda Kora,@BelindaKora1,2021-02-26T11:25:05.000Z,"PNG: Pandemic Controller puts hand up to be immunised after COVID-19 diagnosisPNG: Pandemic Controller puts hand up to be immunised after COVID-19 diagnosisPNG's Pandemic Controller David Manning has put his hand up to be immunised after he and two family members were diagnosed with coronavirus, and as the number of COVID-19 cases in country passed 1000.abc.net.au",,,,,,,,,,,
COVID-19,TraderUyi,@TraderUyi,2021-02-26T11:25:05.000Z,"An all-day meeting, which will provide the FDA with the perspective of outside experts, is the last step before the agency decides whether to authorize the single-dose J&J Covid-19 vaccineJ&J Single-Dose Covid-19 Vaccine Gets Review From FDA Advisory PanelThe all-day meeting, which will provide the U.S. Food and Drug Administration with the perspective of outside experts, is the last step before the agency decides whether to authorize the single-dose...wsj.com",,,,,,,,,,,
COVID-19,Jon Suante,@jon_suante,2021-02-26T11:25:04.000Z,"The Mizoram government has decided to reopen all degree colleges, state, private universities and other educational institutions of higher learning from March 1 while adhering to COVID-19 guidelines.@PTI_NewsColleges & Institutions of higher learning to reopen from 1st March 2021Official website of DIRECTORATE OF INFORMATION & PUBLIC RELATIONS, Government of Mizoram. Developed by Mizoram State e-Governance Society (MSeGS) and hosted by Department of Information & communica...dipr.mizoram.gov.in",,,,,,,,,,,
COVID-19,derek goggin,@croftersbane,2021-02-26T11:25:04.000Z,"can't help thinking.if Covid 19 effected white rich chief executives at the same rate it effected ethnic key workers, that Government policy would be different",,,,,,,,,,,
COVID-19,LPO Connect,@LpoConnect,2021-02-26T11:25:02.000Z,"With Australias roll-out of the COVID-19 vaccination now underway, family lawyers may have to consider whether there will be a spike in disputes over the welfare and best interests of children. READ MORE:Vaccine roll-out and parental disputes: A recipe for disaster?With Australias roll-out of the COVID-19 vaccination now underway, family lawyers may have to consider whether there will be a spike in disputes over the welfare and best interests of children.lawyersweekly.com.au",,,,,,,,,,,
,,,,,,,,,2021-02-24T16:46:52.000Z,@ManiyarShyam,Shyam Maniyar,,COVID,,Stanford Raagapella - Without Me / Jee Karda (Halsey + Divya Kumar Mashup) #mehfil2021 https://music.youtube.com/watch?v=Pgy9UrRTbcY&feature=share. Let the #music continue even during #covid times!
,,,,,,,,,,,,,,,
COVID,SUNO FM 89.4,@SUNOFM894,2021-02-26T11:25:06.000Z,#OnThisDay 26th February 2020 first #covid case reported in #Pakistan,,,,,,,,,,,
COVID,BenjaminMichaels Ltd,@BM_pharma,2021-02-26T11:24:14.000Z,"#covid-19, #hospitals, foggy weather, #fluseason, DM your order as product is readily available for shipping.Feel free to drop your comments for more enquiries or call/whatsapp us on 0810 902 8207 for more enquiries! #facemask #nosemask #surgicalmask #coronavirus",,,,,,,,,,,
COVID,mycovidrecovery,@mycovidrecover,2021-02-26T11:23:42.000Z,An interesting article  on testing to see whether #LongCovid can survive airborne. #longcovid #COVID19 #covid-19ukUK scientists begin study of how long Covid can survive in the airResearchers will test length of time virus stays infectious in different climatic conditionstheguardian.com,,,,,,,,,,,
COVID,Rana Kabbani,@RanaKabbani54,2021-02-26T11:23:39.000Z,"Thank you, @NHSEnglandLDN, for vaccinating my son @AlexSeale this morning.His #underlyingconditions made him particularly vulnerable, so this is a great relief.Kind & empathetic #doctor from #SriLanka gave him the first shot.#Covid #Corona #vaccine #Pfizer",,,4,,,,,,,,
Vaccine,Lerone,@BoyerML,2021-02-26T11:25:22.000Z,"I support the #vaccine and hesitancy in black &brown communities is scary but it doesnt sit right with me that the most privileged woman on earth is telling people, many of whom have struggled in poorly paid frontline jobs all their lives, that they should think of others #queenQuote TweetHuffPost UK@HuffPostUK  25m""It was very quick, and Ive had lots of letters from people who have been very surprised by how easy it was to get the vaccine. #queenelizabeth #queen #royal #royalfamily #covid #vaccine #coronavirus",,,,,,,,,,,
Vaccine,Captain_obvious,@Captain45227777,2021-02-26T11:25:15.000Z, No #sameSexMarriage Rising #FuelPrices  #SocialMediaGuidelines that allow censorship & user-tracing High #unemploymentRate #vaccine deployment at record-lowWhat tf are we doing,,,,,,,,,,,
Vaccine,Westmorland Gazette,@gazettenewsdesk,2021-02-26T11:25:03.000Z,'Age is the predominant factor': announcement on vaccines for under 50s #vaccine #under50s'Age is the predominant factor': announcement on vaccines for under 50sPeople under the age of 50 are today finding out when they may receive their first dose of a coronavirus vaccine as The Joint Committee onthewestmorlandgazette.co.uk,,,,,,,,,,,
Vaccine,Mark Warner,@MAAWLAW,2021-02-26T11:24:54.000Z,"#Vaccines from @AstraZeneca, #Russia's Gamaleya Institute and @JNJNews fight the coronavirus with another virus... So-called viral vector shots [are] also used by several #Chinese #COVID19 #vaccine developers... #compliance",,,,,,,,,,,
COVID19,Marcus Fysh,@MarcusFysh,2021-02-26T11:25:37.000Z,Vulnerable first #COVID19 #vaccineQuote TweetGuido Fawkes@GuidoFawkes  10mBREAKING: JCVI Formally Rejects Sir Keirs Key Workers First Vaccine Priority Proposal https://order-order.com/2021/02/26/new-jcvi-formally-rejects-sir-keirs-professions-first-vaccine-priority,,,,,,,,,,,
COVID19,BERNAMA,@bernamadotcom,2021-02-26T11:25:33.000Z,MASkargo to receive China's Sinovac #COVID19 vaccine at KLIA tomorrowhttps://bernama.com/en/news.php?id=1935554,,,,,,,,,,,
COVID19,Samuel Gould,@iamsamgould,2021-02-26T11:25:33.000Z,#COVID19: People aged 40-49 will get their vaccine after all vulnerable groups and the over-50s receive theirs.COVID-19: No priority for teachers and police in next vaccine phase as it could slow rolloutThe government says the next phase of the vaccine rollout will focus on age groups rather than occupations.news.sky.com,,,,,,,,,,,
COVID19,rhinofuneralservices.com,@rhinofuneralse1,2021-02-26T11:25:27.000Z,"(For inquiries on our services, contact us on +256-701 249 075, 0779370021 or 256-700 584549) #bestfuneralserviceinuganda #cremation #Rhinofuneralservices, #funeralservicesinUganda #COVID19 #socialdistancing #staysafe",,,,,,,,,,,
coronavirus,kmfm News,@kmfmnews,2021-02-26T11:25:45.000Z,NEWS: The government has revealed who will be next to receive #coronavirus vaccines once all the over-50s and most vulnerable have had their jabs #kmfmnewsWho is next in line for a coronavirus vaccine?The Joint Committee on Vaccination and Immunisation has made its recommendations for phase two of the jab rollout.kentonline.co.uk,,,,,,,,,,,
coronavirus,Total Croatia News,@totalcroatia1,2021-02-26T11:25:41.000Z,"The previous 14-day #Croatia #quarantine for those infected with the #coronavirus was shortened to 10 days, but now the 14-day rule is set to return.14 Day Croatia Quarantine Returning for Coronavirus PatientsThe previous fourteen day Croatia quarantine for those confirmed to be infected with the novel coronavirus was shortened to ten days (with the exception of passengers arriving in the country from...total-croatia-news.com",,,,,,,,,,,
